timestamp,tanknumber,pH_Value,temp_Value
2025-09-15T19:14:00,3,8.44,28.00
2025-09-15T19:15:00,1,7.97,26.06
2025-09-15T19:15:00,2,6.79,23.37
2025-09-15T19:15:00,3,8.45,28.01
2025-09-15T19:16:00,1,7.98,26.08
2025-09-15T19:16:00,2,6.79,23.36
2025-09-15T19:16:00,3,8.45,28.03
2025-09-15T19:17:00,1,7.99,26.10
2025-09-15T19:17:00,2,6.79,23.35
2025-09-15T19:17:00,3,8.46,28.05
2025-09-15T19:18:00,1,7.99,26.12
2025-09-15T19:18:00,2,6.79,23.34
2025-09-15T19:18:00,3,8.46,28.06
2025-09-15T19:19:00,1,8.00,26.13
2025-09-15T19:19:00,2,6.79,23.33
2025-09-15T19:19:00,3,8.47,28.08
2025-09-15T19:20:00,1,8.00,26.15
2025-09-15T19:20:00,2,6.79,23.32
2025-09-15T19:20:00,3,8.47,28.09
2025-09-15T19:21:00,1,8.01,26.17
2025-09-15T19:21:00,2,6.79,23.31
2025-09-15T19:21:00,3,8.48,28.11
2025-09-15T19:22:00,1,8.01,26.18
2025-09-15T19:22:00,2,6.79,23.30
2025-09-15T19:22:00,3,8.48,28.12
2025-09-15T19:23:00,1,8.02,26.20
2025-09-15T19:23:00,2,6.79,23.29
2025-09-15T19:23:00,3,8.49,28.14
2025-09-15T19:24:00,1,8.02,26.22
2025-09-15T19:24:00,2,6.79,23.29
2025-09-15T19:24:00,3,8.49,28.15
2025-09-15T19:25:00,1,8.03,26.23
2025-09-15T19:25:00,2,6.79,23.28
2025-09-15T19:25:00,3,8.49,28.17
2025-09-15T19:26:00,1,8.03,26.25
2025-09-15T19:26:00,2,6.79,23.27
2025-09-15T19:26:00,3,8.50,28.18
2025-09-15T19:27:00,1,8.04,26.26
2025-09-15T19:27:00,2,6.80,23.26
2025-09-15T19:27:00,3,8.50,28.19
2025-10-15T18:24:00,1,7.89,27.45
2025-10-15T18:24:00,2,7.38,26.38
2025-10-15T18:24:00,3,8.39,29.41
2025-10-15T18:25:00,1,7.89,27.44
2025-10-15T18:25:00,2,7.38,26.37
2025-10-15T18:25:00,3,8.38,29.40
2025-10-15T18:26:00,1,7.88,27.42
2025-10-15T18:26:00,2,7.37,26.35
2025-10-15T18:26:00,3,8.38,29.38
2025-10-15T18:27:00,1,7.87,27.40
2025-10-15T18:27:00,2,7.36,26.33
2025-10-15T18:27:00,3,8.37,29.36
2025-10-15T18:28:00,1,7.87,27.39
2025-10-15T18:28:00,2,7.36,26.32
2025-10-15T18:28:00,3,8.36,29.35
